,gameid,GameDate,ab,pitchnum,inning,teambat,balls,strikes,outs,pitcher,pitcherthrows,batter,batterside,pitchresult,pitchresult_desc,eventtype,pitchname,pitchname_desc,spinrate,relspeed,horzbreak,inducedvertbreak,platelocside,platelocheight,hometeam_id,Home,awayteam_id,Visitor,venue_id,venue_name
278775,2023/06/15/phimlb-arimlb-1,6/15/2023 19:40,77,5,9.0,1,1.0,2.0,0.0,"Kimbrel, Craig",R,"Rojas, Josh",L,F,Strike - Foul,foul,FF,Four-seam FB,2384.257324,96.3733902,8.049808502,15.62400436,0.050747816,3.010104656,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278809,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,55,4,8.0,0,1.0,2.0,0.0,"Adams, Austin",R,"Turner, Trea",R,B,Ball - Called,ball,SL,Slider,3081.919189,88.65224457,-9.066472054,-7.734664917,1.40912652,2.260450602,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278810,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,55,5,8.0,0,2.0,2.0,0.0,"Adams, Austin",R,"Turner, Trea",R,B,Ball - Called,ball,SL,Slider,3022.012695,87.74713898,-8.435394287,-6.866031647,0.377175033,0.616909266,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278811,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,55,6,8.0,0,3.0,2.0,0.0,"Adams, Austin",R,"Turner, Trea",R,S,Strike - Swinging,strikeout,SL,Slider,2967.376953,88.81529236,-6.01249218,2.487972021,1.108226299,2.309277773,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278812,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,56,1,8.0,0,0.0,0.0,1.0,"Adams, Austin",R,"Castellanos, Nicholas",R,C,Strike - Called,called_strike,SL,Slider,2951.068604,88.79437256,-10.24649429,2.56824255,-0.31402871,2.565882921,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278813,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,56,2,8.0,0,0.0,1.0,1.0,"Adams, Austin",R,"Castellanos, Nicholas",R,D,Hit Into Play - No Out(s),single,SL,Slider,3044.605225,87.80092621,-9.371170044,-2.453396797,-0.158263877,1.95494163,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278814,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,57,1,8.0,0,0.0,0.0,1.0,"Adams, Austin",R,"Harper, Bryce",L,F,Strike - Foul,foul,SL,Slider,3067.686768,86.75982666,-9.396138191,-0.025171936,0.214694187,2.819149494,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278815,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,57,2,8.0,0,0.0,1.0,1.0,"Adams, Austin",R,"Harper, Bryce",L,F,Strike - Foul,foul,SL,Slider,3284.234619,87.60882568,-9.894463539,-1.003092647,0.781092584,1.408513784,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278816,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,57,3,8.0,0,0.0,2.0,1.0,"Adams, Austin",R,"Harper, Bryce",L,S,Strike - Swinging,strikeout,SL,Slider,3210.079834,88.29602814,-10.37061119,-0.283260226,-0.403656065,3.09794116,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
278817,2023/06/14/phimlb-arimlb-1,6/15/2023 1:40,58,1,8.0,0,0.0,0.0,2.0,"Adams, Austin",R,"Realmuto, J.T.",R,C,Strike - Called,called_strike,SL,Slider,3225.578613,87.21102905,-9.727763176,-0.525278509,-0.078518435,1.821620584,109,Arizona Diamondbacks,143,Philadelphia Phillies,15,Chase Field
